0000000542 0000000542 01 0 0
0000000720 0000000178 01 0 1
0000000863 0000000143 02 1 1
0000000923 0000000060 03 1 1
0000001035 0000000112 04 1 1
0000001213 0000000178 05 1 1
0000001234 0000000021 06 1 1
0000001285 0000000051 07 1 1
0000001365 0000000080 08 1 1
0000001415 0000000050 09 1 1
0000001481 0000000066 10 1 1
0000001494 0000000013 11 1 1
0000001735 0000000241 01 0 0
0000002150 0000000415 01 0 0
0000002538 0000000388 01 0 0
0000002583 0000000045 02 2 1
0000002598 0000000015 03 1 1
0000003426 0000000828 01 0 1
0000003440 0000000014 02 1 1
0000003496 0000000056 03 1 1
0000003564 0000000068 04 1 1
0000004433 0000000869 01 0 1
0000004728 0000000295 01 0 0
0000004813 0000000085 02 2 1
0000004895 0000000082 03 1 1
0000005001 0000000106 04 1 1
0000005124 0000000123 05 1 1
0000005125 0000000001 06 1 1
0000005128 0000000003 07 1 1
0000005146 0000000018 08 1 1
0000005204 0000000058 09 1 1
0000005268 0000000064 10 1 1
0000006230 0000000962 01 0 1
0000006823 0000000593 01 0 1
0000006942 0000000119 02 1 1
0000006986 0000000044 03 1 1
0000007177 0000000191 01 3 1
0000007247 0000000070 02 1 1
0000007271 0000000024 03 1 1
0000007372 0000000101 04 1 1
0000007480 0000000108 05 1 1
0000007830 0000000350 01 0 1
0000007930 0000000100 02 1 1
0000007937 0000000007 03 1 1
0000008162 0000000225 01 0 0
0000008378 0000000216 01 0 0
0000008407 0000000029 02 2 1
0000008408 0000000001 03 1 1
0000008485 0000000077 04 1 1
0000008518 0000000033 05 1 1
0000008703 0000000185 06 1 1
0000008801 0000000098 07 1 1
0000008953 0000000152 08 1 1
0000008997 0000000044 09 1 1
0000009070 0000000073 10 1 1
0000009703 0000000633 01 0 0
0000010058 0000000355 01 0 0
0000010509 0000000451 01 0 1
0000010524 0000000015 02 1 1
0000010552 0000000028 03 1 1
0000010572 0000000020 04 1 1
0000010835 0000000263 01 0 1
0000010926 0000000091 02 1 1
0000010935 0000000009 03 1 1
0000011055 0000000120 04 1 1
0000011159 0000000104 05 1 1
0000011169 0000000010 06 1 1
0000011202 0000000033 07 1 1
0000011220 0000000018 08 1 1
0000011299 0000000079 09 1 1
0000011316 0000000017 10 1 1
0000011466 0000000150 11 1 1
0000011565 0000000099 12 1 1
0000011760 0000000195 01 0 1
0000011782 0000000022 02 1 1
0000011857 0000000075 03 1 1
0000012036 0000000179 04 1 1
0000012040 0000000004 05 1 1
0000012476 0000000436 01 0 1
0000012480 0000000004 02 1 1
0000012981 0000000501 01 0 1
0000013651 0000000670 01 0 0
0000013939 0000000288 01 0 1
0000013973 0000000034 02 1 1
0000014481 0000000508 01 0 1
0000014596 0000000115 02 1 1
0000014668 0000000072 03 1 1
0000014724 0000000056 04 1 1
0000014912 0000000188 05 1 1
0000014938 0000000026 06 1 1
0000015009 0000000071 07 1 1
0000015149 0000000140 08 1 1
0000015203 0000000054 09 1 1
0000015218 0000000015 10 1 1
0000015334 0000000116 11 1 1
0000015435 0000000101 12 1 1
0000015570 0000000135 13 1 1
0000015796 0000000226 01 0 1
0000015901 0000000105 02 1 1
0000016036 0000000135 03 1 1
0000016117 0000000081 04 1 1
0000016262 0000000145 05 1 1
0000016284 0000000022 06 1 1
0000016563 0000000279 01 0 0
0000016792 0000000229 01 0 0
0000016870 0000000078 02 2 1
0000016871 0000000001 03 1 1
0000016982 0000000111 04 1 1
0000016995 0000000013 05 1 1
0000017060 0000000065 06 1 1
0000017464 0000000404 01 0 1
0000017579 0000000115 02 1 1
0000017748 0000000169 03 1 1
0000017936 0000000188 04 1 1
0000018098 0000000162 05 1 1
0000018666 0000000568 01 0 0
0000018776 0000000110 01 0 1
0000018889 0000000113 02 1 1
0000018907 0000000018 03 1 1
0000018964 0000000057 04 1 1
0000019056 0000000092 05 1 1
0000019146 0000000090 06 1 1
0000019991 0000000845 01 0 0
0000020181 0000000190 01 0 0
0000020202 0000000021 02 2 1
0000020313 0000000111 03 1 1
0000020399 0000000086 04 1 1
0000020456 0000000057 05 1 1
0000020954 0000000498 01 0 1
0000020955 0000000001 02 1 1
0000021628 0000000673 01 0 1
0000021651 0000000023 02 1 1
0000021816 0000000165 03 1 1
0000021895 0000000079 04 1 1
0000021914 0000000019 05 1 1
0000022193 0000000279 01 0 1
0000022264 0000000071 02 1 1
0000022662 0000000398 01 0 1
0000022687 0000000025 02 1 1
0000022694 0000000007 03 1 1
0000022781 0000000087 04 1 1
0000022810 0000000029 05 1 1
0000022888 0000000078 06 1 1
0000023032 0000000144 07 1 1
0000023200 0000000168 08 1 1
0000023580 0000000380 01 0 1
0000023769 0000000189 02 1 1
0000023789 0000000020 03 1 1
0000023827 0000000038 04 1 1
0000024808 0000000981 01 0 1
0000024839 0000000031 02 1 1
0000024920 0000000081 03 1 1
0000024960 0000000040 04 1 1
0000025115 0000000155 05 1 1
0000025145 0000000030 06 1 1
0000025180 0000000035 07 1 1
0000025242 0000000062 08 1 1
0000025402 0000000160 09 1 1
0000025542 0000000140 10 1 1
0000025713 0000000171 11 1 1
0000025758 0000000045 12 1 1
0000026260 0000000502 01 0 0
0000026513 0000000253 01 0 1
0000026562 0000000049 02 1 1
0000026781 0000000219 01 0 0
0000027604 0000000823 01 0 1
0000027727 0000000123 02 1 1
0000027755 0000000028 03 1 1
0000027902 0000000147 04 1 1
0000027904 0000000002 05 1 1
0000028037 0000000133 06 1 1
0000028038 0000000001 07 1 1
0000028202 0000000164 08 1 1
0000028211 0000000009 09 1 1
0000028296 0000000085 10 1 1
0000028307 0000000011 11 1 1
0000028468 0000000161 12 1 1
0000028507 0000000039 13 1 1
0000028999 0000000492 01 0 0
0000029153 0000000154 01 0 0
0000029294 0000000141 01 0 0
0000030282 0000000988 01 0 0
0000030786 0000000504 01 0 1
0000030890 0000000104 02 1 1
0000030920 0000000030 03 1 1
0000031118 0000000198 01 0 1
0000031240 0000000122 02 1 1
0000031338 0000000098 03 1 1
0000031444 0000000106 04 1 1
